date,macro_economy_text_information,woodgreen_housing_demand_text_information,woodgreen_cost_of_living_text_information,woodgreen_employment_text_information,woodgreen_mental_health_text_information,woodgreen_food_security_text_information,woodgreen_newcomer_settlement_text_information,woodgreen_seniors_care_text_information,woodgreen_family_violence_text_information
2018-01-01,1.3370191094023436,1.0763039520206996,0.8105372399955086,-0.525189785192421,0.955982947768513,-0.2852598885253446,1.1786237037007854,0.1106291459111575,0.9608840958206352
2018-01-02,1.3090403759657296,1.0655882157859815,0.8075981627456409,-0.525700561088589,0.9506674810800186,-0.2806338568059314,1.1499791441560283,0.09141659119704,0.9546817600621532
2018-01-03,1.2810616425291173,1.0548724795512627,0.804659085495773,-0.5262113369847565,0.945352014391524,-0.2760078250865181,1.1213345846112717,0.0722040364829229,0.9484794243036708
2018-01-04,1.2530829090925046,1.0441567433165455,0.8017200082459052,-0.526722112880925,0.9400365477030304,-0.2713817933671047,1.0926900250665152,0.0529914817688054,0.942277088545188
2018-01-05,1.2251041756558916,1.033441007081826,0.7987809309960378,-0.5272328887770925,0.9347210810145355,-0.2667557616476915,1.0640454655217584,0.0337789270546878,0.9360747527867056
2018-01-06,1.1971254422192783,1.022725270847108,0.7958418537461696,-0.5277436646732605,0.9294056143260416,-0.2621297299282785,1.0354009059770015,0.0145663723405702,0.9298724170282232
2018-01-07,1.169146708782666,1.0120095346123883,0.792902776496302,-0.5282544405694285,0.9240901476375476,-0.2575036982088652,1.0067563464322449,-0.0046461823735476,0.923670081269741
2018-01-08,1.1411679753460529,1.001293798377671,0.7899636992464338,-0.528765216465596,0.9187746809490528,-0.252877666489452,0.9781117868874876,-0.0238587370876649,0.9174677455112592
2018-01-09,1.1131892419094396,0.9905780621429516,0.7870246219965661,-0.5292759923617646,0.913459214260559,-0.2482516347700387,0.9494672273427308,-0.0430712918017819,0.9112654097527764
2018-01-10,1.0852105084728263,0.9798623259082344,0.7840855447466986,-0.529786768257932,0.9081437475720644,-0.2436256030506255,0.9208226677979744,-0.0622838465158995,0.905063073994294
2018-01-11,1.057231775036214,0.9691465896735147,0.7811464674968308,-0.5302975441541001,0.9028282808835704,-0.238999571331212,0.8921781082532175,-0.0814964012300171,0.898860738235811
2018-01-12,1.0292530415996002,0.9584308534387967,0.7782073902469626,-0.5308083200502681,0.8975128141950763,-0.234373539611799,0.8635335487084606,-0.1007089559441347,0.892658402477329
2018-01-13,1.0012743081629878,0.947715117204078,0.7752683129970951,-0.5313190959464357,0.8921973475065816,-0.2297475078923861,0.8348889891637042,-0.119921510658252,0.886456066718847
2018-01-14,0.9732955747263744,0.9369993809693592,0.7723292357472273,-0.5318298718426037,0.8868818808180876,-0.2251214761729726,0.8062444296189468,-0.1391340653723696,0.8802537309603642
2018-01-15,0.945316841289762,0.9262836447346412,0.7693901584973595,-0.5323406477387717,0.8815664141295932,-0.2204954444535594,0.7775998700741898,-0.1583466200864874,0.8740513952018821
2018-01-16,0.9173381078531484,0.9155679084999224,0.7664510812474916,-0.5328514236349396,0.8762509474410993,-0.2158694127341461,0.748955310529433,-0.1775591748006045,0.8678490594433994
2018-01-17,0.8893593744165358,0.9048521722652044,0.7635120039976242,-0.5333621995311076,0.870935480752605,-0.2112433810147326,0.720310750984676,-0.1967717295147218,0.8616467236849173
2018-01-18,0.8613806409799226,0.8941364360304855,0.760572926747756,-0.5338729754272752,0.8656200140641103,-0.2066173492953197,0.6916661914399203,-0.2159842842288394,0.8554443879264353
2018-01-19,0.8334019075433095,0.8834206997957675,0.7576338494978885,-0.5343837513234432,0.8603045473756167,-0.2019913175759067,0.6630216318951628,-0.2351968389429569,0.8492420521679521
2018-01-20,0.805423174106697,0.8727049635610488,0.7546947722480203,-0.5348945272196112,0.8549890806871223,-0.1973652858564934,0.6343770723504053,-0.2544093936570745,0.8430397164094702
2018-01-21,0.7774444406700838,0.86198922732633,0.7517556949981525,-0.5354053031157793,0.849673613998628,-0.1927392541370799,0.605732512805649,-0.2736219483711918,0.8368373806509877
2018-01-22,0.7494657072334707,0.8512734910916112,0.7488166177482847,-0.5359160790119473,0.8443581473101336,-0.1881132224176667,0.5770879532608921,-0.2928345030853094,0.8306350448925053
2018-01-23,0.7214869737968576,0.8405577548568931,0.7458775404984173,-0.5364268549081148,0.8390426806216392,-0.1834871906982532,0.5484433937161357,-0.312047057799427,0.8244327091340233
2018-01-24,0.693508240360245,0.8298420186221743,0.7429384632485491,-0.5369376308042828,0.8337272139331445,-0.1788611589788403,0.5197988341713788,-0.3312596125135443,0.8182303733755408
2018-01-25,0.6655295069236319,0.8191262823874563,0.7399993859986815,-0.5374484067004508,0.8284117472446509,-0.1742351272594273,0.4911542746266213,-0.3504721672276619,0.8120280376170581
2018-01-26,0.6375507734870187,0.8084105461527376,0.7370603087488133,-0.5379591825966183,0.8230962805561566,-0.169609095540014,0.462509715081865,-0.3696847219417792,0.8058257018585756
2018-01-27,0.6095720400504056,0.7976948099180188,0.7341212314989459,-0.5384699584927868,0.8177808138676619,-0.1649830638206006,0.4338651555371081,-0.3888972766558968,0.7996233661000932
2018-01-28,0.581593306613793,0.7869790736833008,0.7311821542490777,-0.5389807343889543,0.8124653471791675,-0.1603570321011873,0.4052205959923511,-0.4081098313700144,0.7934210303416113
2018-01-29,0.55361457317718,0.7762633374485827,0.7282430769992102,-0.5394915102851223,0.8071498804906739,-0.1557310003817741,0.3765760364475948,-0.4273223860841314,0.7872186945831289
