date,value
2017-01-02,4451.0
2017-01-09,4485.0
2017-01-16,4420.857142857143
2017-01-23,4542.142857142857
2017-01-30,4465.142857142857
2017-02-06,4362.571428571428
2017-02-13,4429.285714285715
2017-02-20,4476.857142857143
2017-02-27,4462.857142857143
2017-03-06,4416.428571428572
2017-03-13,4558.714285714285
2017-03-20,4522.857142857143
2017-03-27,4507.857142857143
2017-04-03,4503.571428571428
2017-04-10,4526.142857142857
2017-04-17,4537.428571428572
2017-04-24,4650.285714285715
2017-05-01,4710.142857142857
2017-05-08,4674.571428571428
2017-05-15,4730.571428571428
2017-05-22,4712.857142857143
2017-05-29,4620.714285714285
2017-06-05,4734.428571428572
2017-06-12,4669.428571428572
2017-06-19,4747.571428571428
2017-06-26,4826.428571428572
2017-07-03,4772.714285714285
2017-07-10,4663.857142857143
2017-07-17,4798.428571428572
2017-07-24,4810.857142857143
2017-07-31,4882.285714285715
2017-08-07,4888.428571428572
2017-08-14,5032.571428571428
2017-08-21,5028.428571428572
2017-08-28,5052.428571428572
2017-09-04,5071.857142857143
2017-09-11,5143.285714285715
2017-09-18,5099.571428571428
2017-09-25,5103.857142857143
2017-10-02,5191.0
2017-10-09,5217.285714285715
2017-10-16,5468.3411428571435
2017-10-23,5496.571428571428
2017-10-30,5509.714285714285
2017-11-06,5463.142857142857
2017-11-13,5610.571428571428
2017-11-20,5523.571428571428
2017-11-27,5521.714285714285
2017-12-04,5382.285714285715
2017-12-11,5323.428571428572
2017-12-18,5434.714285714285
2017-12-25,5417.285714285715
2018-01-01,5437.142857142857
2018-01-08,5400.428571428572
2018-01-15,5569.285714285715
2018-01-22,5678.142857142857
2018-01-29,5748.571428571428
2018-02-05,5759.428571428572
2018-02-12,5778.714285714285
2018-02-19,5779.142857142857
2018-02-26,5697.285714285715
2018-03-05,5799.857142857143
2018-03-12,5888.714285714285
2018-03-19,6029.428571428572
2018-03-26,6095.428571428572
2018-04-02,6110.285714285715
2018-04-09,6127.428571428572
2018-04-16,6188.571428571428
2018-04-23,6250.142857142857
2018-04-30,6338.285714285715
2018-05-07,6443.857142857143
2018-05-14,6477.714285714285
2018-05-21,6600.857142857143
2018-05-28,6496.0
2018-06-04,6584.857142857143
2018-06-11,6445.571428571428
2018-06-18,6432.0
2018-06-25,6335.714285714285
2018-07-02,6465.0
2018-07-09,6476.142857142857
2018-07-16,6196.0
2018-07-23,6793.714285714285
2018-07-30,6584.571428571428
2018-08-06,6415.142857142857
2018-08-13,6568.285714285715
2018-08-20,6551.285714285715
2018-08-27,6685.571428571428
2018-09-03,6505.285714285715
2018-09-10,6862.857142857143
2018-09-17,6607.714285714285
2018-09-24,6524.571428571428
2018-10-01,6771.428571428572
2018-10-08,6516.428571428572
2018-10-15,6645.0
2018-10-22,6810.428571428572
2018-10-29,6851.571428571428
2018-11-05,6683.571428571428
2018-11-12,6692.285714285715
2018-11-19,6594.571428571428
2018-11-26,6722.0
2018-12-03,6758.857142857143
