Week,Black,East Asian,Indigenous,Latin American,Middle Eastern,Multiple,Other,South Asian,Southeast Asian,Unknown,White
2023-01-23,0,0,0,0,0,0,0,0,1,116,2
2023-01-30,0,0,1,0,0,0,1,0,0,117,2
2023-02-06,0,1,0,0,0,0,0,0,0,163,3
2023-02-13,0,0,0,0,0,0,0,0,0,132,1
2023-02-20,1,1,0,0,0,0,0,0,0,90,0
2023-02-27,0,0,0,0,0,0,0,1,1,160,0
2023-03-06,1,0,0,0,0,0,0,2,0,176,0
2023-03-13,0,0,0,0,0,0,0,0,0,135,0
2023-03-20,0,0,0,0,0,0,0,0,0,107,0
2023-03-27,0,0,0,0,0,0,0,0,0,111,0
2023-04-03,0,0,0,0,0,0,0,0,0,165,0
2023-04-10,0,0,0,0,0,0,0,0,2,146,0
2023-04-17,0,0,0,0,0,0,0,0,0,112,0
2023-04-24,0,0,0,0,0,0,0,0,0,172,0
2023-05-01,0,0,0,0,0,0,0,0,0,99,0
2023-05-08,0,0,0,0,0,0,0,0,0,84,0
2023-05-15,0,0,0,0,0,0,0,0,0,95,0
2023-05-22,0,0,0,0,0,0,0,0,0,160,0
2023-05-29,0,0,0,0,0,0,0,0,0,125,0
2023-06-05,0,0,0,0,0,0,0,0,0,132,0
2023-06-12,0,0,0,0,0,0,0,0,0,98,0
2023-06-19,0,0,0,0,0,0,0,0,0,107,0
2023-06-26,0,0,0,0,0,0,0,0,0,85,0
2023-07-03,0,0,0,0,0,0,0,0,0,128,0
2023-07-10,0,0,0,0,0,0,0,0,0,126,0
2023-07-17,0,0,0,0,0,0,0,0,0,113,0
2023-07-24,0,0,0,0,0,0,0,0,0,136,0
2023-07-31,0,0,0,0,0,0,0,0,0,134,1
2023-08-07,0,0,0,0,0,0,0,0,0,113,0
2023-08-14,0,0,0,0,0,0,0,0,0,103,0
2023-08-21,0,0,0,0,0,0,0,0,0,107,1
2023-08-28,0,0,0,0,0,0,0,0,0,134,0
2023-09-04,0,0,0,0,0,0,0,0,0,81,0
2023-09-11,0,0,0,0,0,0,0,0,0,127,0
2023-09-18,0,0,0,0,0,0,0,0,0,1991,0
2023-09-25,0,0,0,0,0,0,0,0,0,114,0
2023-10-02,0,0,0,0,0,0,0,0,0,155,0
2023-10-09,0,0,0,0,0,0,0,0,0,135,0
2023-10-16,0,0,0,0,0,0,0,0,0,128,0
2023-10-23,0,0,0,0,0,0,0,0,0,148,0
2023-10-30,0,0,0,0,0,0,0,0,0,229,0
2023-11-06,1,0,0,0,0,0,0,2,0,115,0
2023-11-13,0,0,0,0,0,0,0,0,0,88,2
2023-11-20,0,0,0,0,0,0,0,0,0,86,0
2023-11-27,0,0,0,0,0,0,0,0,0,106,0
2023-12-04,0,0,0,0,0,0,0,0,0,101,0
2023-12-11,0,0,1,0,0,0,0,0,0,86,0
2023-12-18,0,0,0,0,0,0,0,0,0,132,0
2023-12-25,0,0,0,0,0,0,0,0,0,139,0
2024-01-01,0,0,0,0,0,0,0,1,0,102,1
2024-01-08,0,0,0,0,0,0,0,0,1,172,0
2024-01-15,0,0,0,0,0,0,0,0,1,153,2
2024-01-22,0,0,0,0,0,0,0,0,0,195,2
2024-01-29,0,0,0,0,0,0,0,1,0,180,1
2024-02-05,0,0,0,0,0,0,0,0,0,168,2
2024-02-12,0,0,0,0,0,0,0,0,0,126,2
2024-02-19,0,0,0,0,0,0,0,0,0,132,0
2024-02-26,0,0,0,0,0,0,0,0,0,153,1
2024-03-04,0,0,0,0,0,0,0,1,0,172,0
2024-03-11,0,0,0,0,0,0,0,0,0,143,0
2024-03-18,0,0,0,0,0,0,0,0,0,439,0
2024-03-25,0,0,0,0,0,0,0,0,0,335,1
2024-04-01,0,0,0,0,0,0,0,0,0,349,0
2024-04-08,0,0,0,0,0,0,0,0,0,221,0
2024-04-15,0,0,0,0,0,0,0,0,0,233,1
2024-04-22,0,0,0,0,0,0,0,1,0,210,0
2024-04-29,0,0,0,0,0,0,0,0,0,205,0
2024-05-06,0,0,0,0,0,0,0,0,0,212,0
2024-05-13,0,0,0,0,0,0,0,0,0,141,2
2024-05-20,0,0,0,0,0,0,0,0,0,163,0
2024-05-27,0,0,0,0,0,0,0,0,0,267,1
2024-06-03,0,0,0,0,0,0,0,0,0,238,0
2024-06-10,0,0,0,0,0,0,0,0,0,156,1
2024-06-17,0,0,0,0,0,0,0,0,0,157,0
2024-06-24,0,0,0,0,0,0,0,0,0,241,0
2024-07-01,0,0,0,0,0,0,0,0,0,4148,0
2024-07-08,0,0,0,0,0,0,0,0,0,36,0
2024-07-15,0,0,0,0,0,0,0,0,0,154,0
2024-07-22,0,0,0,0,0,0,0,0,0,201,0
2024-07-29,0,0,0,0,0,0,0,0,0,215,0
2024-08-05,0,0,0,0,0,0,0,0,0,171,0
2024-08-12,0,0,0,0,0,0,0,0,0,232,0
2024-08-19,0,0,0,0,0,0,0,0,0,291,0
2024-08-26,0,0,0,0,0,0,0,0,0,249,0
2024-09-02,0,0,0,0,0,0,0,0,0,138,0
2024-09-09,0,0,0,0,0,0,0,0,0,200,0
2024-09-16,0,0,0,0,0,0,0,0,0,218,0
2024-09-23,0,0,0,0,0,0,0,0,0,213,0
2024-09-30,0,0,0,0,0,0,0,0,0,230,0
2024-10-07,0,0,0,0,0,0,0,0,0,142,0
2024-10-14,0,0,0,0,0,0,0,0,0,214,0
2024-10-21,0,0,0,0,0,0,0,0,0,257,0
2024-10-28,0,0,0,0,0,0,0,0,0,328,0
2024-11-04,0,0,0,0,0,0,0,0,0,305,0
2024-11-11,0,0,0,0,0,0,0,0,0,223,0
2024-11-18,0,0,0,0,0,0,0,0,0,263,0
2024-11-25,0,0,0,0,0,0,0,0,0,249,0
2024-12-02,0,0,0,0,0,0,0,0,0,303,0
2024-12-09,0,0,0,0,0,0,0,0,0,195,0
2024-12-16,0,0,0,0,0,0,0,1,0,172,0
2024-12-23,0,0,0,0,0,0,0,0,0,89,0
2024-12-30,0,0,0,0,0,0,0,0,0,112,0
2025-01-06,0,0,0,0,0,0,0,0,0,187,0
2025-01-13,0,0,0,0,0,0,0,0,0,234,0
2025-01-20,0,0,0,0,0,0,0,0,0,210,0
2025-01-27,0,0,0,0,0,0,0,0,0,196,0
2025-02-03,0,0,0,0,0,0,0,0,0,301,0
2025-02-10,0,0,0,0,0,0,0,0,0,338,0
2025-02-17,0,0,0,0,0,0,0,0,0,271,0
2025-02-24,0,0,0,0,0,0,0,0,0,385,0
2025-03-03,0,0,0,0,0,0,0,0,0,538,0
2025-03-10,0,0,0,0,0,0,0,0,0,379,0
2025-03-17,0,0,0,0,0,0,0,0,0,495,0
2025-03-24,0,0,0,0,0,0,0,0,0,603,0
2025-03-31,0,0,0,0,0,0,0,0,0,431,0
2025-04-07,0,0,0,0,0,0,0,0,0,456,0
2025-04-14,0,0,0,0,0,0,0,0,0,317,0
2025-04-21,0,0,0,0,0,0,0,0,0,414,0
2025-04-28,0,0,0,0,0,0,0,0,0,410,0
2025-05-05,0,0,0,0,0,0,0,0,0,284,0
2025-05-12,0,0,0,0,0,0,0,0,0,272,0
2025-05-19,0,0,0,0,0,0,0,0,0,192,0
2025-05-26,0,0,0,0,0,0,0,0,0,366,0
2025-06-02,0,0,0,0,0,0,0,0,0,350,0
2025-06-09,1,0,0,0,0,0,0,0,0,309,0
2025-06-16,0,0,0,0,0,0,0,1,0,246,0
2025-06-23,0,0,0,0,0,0,0,0,0,292,0
2025-06-30,1,0,0,0,0,0,1,0,0,214,1
2025-07-07,0,0,0,0,0,0,0,0,0,256,1
2025-07-14,0,0,0,0,0,0,0,10,2,206,7
2025-07-21,0,0,0,0,0,0,1,0,0,170,0
2025-07-28,0,0,0,0,0,0,0,0,0,279,0
2025-08-04,0,0,0,0,0,0,0,0,0,189,1
2025-08-11,0,0,0,0,0,0,0,0,0,237,0
2025-08-18,0,0,0,0,0,0,0,0,0,203,0
2025-08-25,0,0,0,0,0,0,0,0,0,224,0
2025-09-01,0,0,0,0,0,0,0,0,0,163,0
2025-09-08,0,0,0,0,0,0,0,0,0,230,0
2025-09-15,0,0,0,0,0,0,0,0,0,182,0
2025-09-22,0,0,0,0,0,0,0,0,0,200,0
2025-09-29,0,0,0,0,0,0,0,0,0,236,0
2025-10-06,0,0,0,0,0,0,0,0,0,250,0
2025-10-13,0,0,0,0,0,0,0,0,0,155,0
